lat,lon,alt,date,device,os,version
40.7328109741,-73.9858322144,23.0728683472,2013-04-14 03:52:32,"iPhone5,1",6.1.3,1.1
40.7267608643,-73.9806594849,24.2369155884,2013-04-14 05:34:56,"iPhone5,1",6.1.3,1.1
40.7225990295,-73.9771652222,17.1767425537,2013-04-14 07:06:40,"iPhone5,1",6.1.3,1.1
40.7196311951,-73.9444503784,4.15786409378,2013-04-14 07:15:12,"iPhone5,1",6.1.3,1.1
40.7191314697,-73.9503479004,5.74145507812,2013-04-14 13:39:12,"iPhone5,1",6.1.3,1.1
40.7146186829,-73.9575576782,12.2872009277,2013-04-14 13:43:28,"iPhone5,1",6.1.3,1.1
40.711151123,-73.9633407593,21.279083252,2013-04-14 13:49:52,"iPhone5,1",6.1.3,1.1
40.7135009766,-73.9715194702,5.79513549805,2013-04-14 13:54:08,"iPhone5,1",6.1.3,1.1
40.7163734436,-73.9811019897,8.85467529297,2013-04-14 14:00:32,"iPhone5,1",6.1.3,1.1
40.7145614624,-73.9756469727,8.10821533203,2013-04-14 14:09:04,"iPhone5,1",6.1.3,1.1
40.710811615,-73.9640884399,13.6387634277,2013-04-14 14:13:20,"iPhone5,1",6.1.3,1.1
40.7147407532,-73.957359314,9.74920654297,2013-04-14 14:19:44,"iPhone5,1",6.1.3,1.1
40.7200012207,-73.950553894,5.35775756836,2013-04-14 14:24:00,"iPhone5,1",6.1.3,1.1
40.7141609192,-73.9479446411,22.8621292114,2013-04-14 15:21:36,"iPhone5,1",6.1.3,1.1
40.7385063171,-73.9996948242,26.8169822693,2013-04-14 15:38:40,"iPhone5,1",6.1.3,1.1
40.7384567261,-73.9996795654,20.1735515594,2013-04-14 15:40:48,"iPhone5,1",6.1.3,1.1
40.7386322021,-73.9998168945,22.9100322723,2013-04-14 15:40:48,"iPhone5,1",6.1.3,1.1
40.738658905,-73.9998397827,24.2823295593,2013-04-14 15:40:48,"iPhone5,1",6.1.3,1.1
40.7537956238,-73.9939651489,25.9734249115,2013-04-14 15:49:20,"iPhone5,1",6.1.3,1.1
40.7585601807,-73.9973373413,36.541885376,2013-04-14 16:08:32,"iPhone5,1",6.1.3,1.1
40.7635536194,-74.0750961304,35.7302093506,2013-04-14 16:19:12,"iPhone5,1",6.1.3,1.1
40.7080383301,-74.1502532959,35.7302093506,2013-04-14 16:23:28,"iPhone5,1",6.1.3,1.1
40.6399383545,-74.2070388794,8.05604743958,2013-04-14 16:29:52,"iPhone5,1",6.1.3,1.1
40.3914527893,-74.4539031982,12.4739084244,2013-04-14 16:49:04,"iPhone5,1",6.1.3,1.1
40.3044204712,-74.5004272461,12.4739084244,2013-04-14 16:53:20,"iPhone5,1",6.1.3,1.1
40.0095787048,-74.8460388184,12.4739084244,2013-04-14 17:18:56,"iPhone5,1",6.1.3,1.1
39.8685569763,-75.0647735596,12.4739084244,2013-04-14 17:31:44,"iPhone5,1",6.1.3,1.1
39.8540992737,-75.0780029297,18.9957752228,2013-04-14 17:46:40,"iPhone5,1",6.1.3,1.1
39.6995277405,-75.3975524902,18.9957752228,2013-04-14 17:53:04,"iPhone5,1",6.1.3,1.1
39.6463928223,-75.6845169067,18.9994068146,2013-04-14 18:27:12,"iPhone5,1",6.1.3,1.1
39.6429443359,-75.8218231201,18.9994068146,2013-04-14 18:35:44,"iPhone5,1",6.1.3,1.1
39.6271858215,-75.9759674072,18.9994068146,2013-04-14 18:42:08,"iPhone5,1",6.1.3,1.1
39.5108337402,-76.1748886108,18.9994068146,2013-04-14 18:57:04,"iPhone5,1",6.1.3,1.1
39.293006897,-76.5317382812,18.9994068146,2013-04-14 19:18:24,"iPhone5,1",6.1.3,1.1
39.2431907654,-76.5860748291,18.9994068146,2013-04-14 19:22:40,"iPhone5,1",6.1.3,1.1
39.2237434387,-76.6543731689,18.1608715057,2013-04-14 19:29:04,"iPhone5,1",6.1.3,1.1
39.1260452271,-76.773475647,18.1608715057,2013-04-14 19:37:36,"iPhone5,1",6.1.3,1.1
39.101108551,-76.8021621704,18.1608715057,2013-04-14 19:46:08,"iPhone5,1",6.1.3,1.1
39.0015258789,-76.8655471802,18.1608715057,2013-04-14 20:01:04,"iPhone5,1",6.1.3,1.1
38.9471435547,-76.9117965698,18.1608715057,2013-04-14 20:07:28,"iPhone5,1",6.1.3,1.1
38.8979492188,-77.006072998,31,2013-04-14 20:26:40,"iPhone5,1",6.1.3,1.1
38.8960723877,-77.0000228882,31.2940387726,2013-04-14 20:45:52,"iPhone5,1",6.1.3,1.1
38.8958930969,-76.9864425659,33.9833602905,2013-04-14 21:05:04,"iPhone5,1",6.1.3,1.1
38.8963432312,-77.0007629395,31.9869766235,2013-04-15 01:44:32,"iPhone5,1",6.1.3,1.1
38.9110412598,-77.0046691895,31.1702251434,2013-04-15 01:55:12,"iPhone5,1",6.1.3,1.1
38.9146652222,-77.0292053223,31.1702251434,2013-04-15 02:05:52,"iPhone5,1",6.1.3,1.1
38.9178733826,-77.0237350464,49,2013-04-15 02:12:16,"iPhone5,1",6.1.3,1.1
38.9125175476,-77.0122070312,49,2013-04-15 03:39:44,"iPhone5,1",6.1.3,1.1
38.8997268677,-77.0033493042,49,2013-04-15 03:50:24,"iPhone5,1",6.1.3,1.1
38.8975982666,-76.9832229614,32.336769104,2013-04-15 04:01:04,"iPhone5,1",6.1.3,1.1
38.8921775818,-77.0124511719,32.7484741211,2013-04-15 12:45:52,"iPhone5,1",6.1.3,1.1
38.8885307312,-77.0426330566,31.2707977295,2013-04-15 12:56:32,"iPhone5,1",6.1.3,1.1
38.8900947571,-77.0658111572,31.2707977295,2013-04-15 13:05:04,"iPhone5,1",6.1.3,1.1
38.8974990845,-77.0707092285,59.63489151,2013-04-15 13:11:28,"iPhone5,1",6.1.3,1.1
38.9066963196,-77.0581207275,62.1709518433,2013-04-16 00:34:08,"iPhone5,1",6.1.3,1.1
38.9040641785,-77.0533065796,44.5096626282,2013-04-16 00:38:24,"iPhone5,1",6.1.3,1.1
38.9006652832,-77.0489196777,52.481502533,2013-04-16 00:55:28,"iPhone5,1",6.1.3,1.1
38.8978424072,-77.0213317871,43.286315918,2013-04-16 01:23:12,"iPhone5,1",6.1.3,1.1
38.8955001831,-76.9921417236,43.286315918,2013-04-16 01:31:44,"iPhone5,1",6.1.3,1.1
38.8964729309,-76.9853744507,30.6944389343,2013-04-16 02:31:28,"iPhone5,1",6.1.3,1.1
38.8891525269,-76.9897766113,33.4032287598,2013-04-16 12:26:40,"iPhone5,1",6.1.3,1.1
38.8981628418,-77.0683364868,33.9540405273,2013-04-16 13:05:04,"iPhone5,1",6.1.3,1.1
38.8975410461,-77.0706634521,57.498298645,2013-04-16 18:33:36,"iPhone5,1",6.1.3,1.1
38.8973960876,-77.070526123,57.2101402283,2013-04-16 22:13:20,"iPhone5,1",6.1.3,1.1
38.903717041,-77.0689849854,81,2013-04-16 22:30:24,"iPhone5,1",6.1.3,1.1
38.8998565674,-77.0494308472,81,2013-04-16 22:43:12,"iPhone5,1",6.1.3,1.1
38.8895606995,-77.0316543579,81,2013-04-16 22:58:08,"iPhone5,1",6.1.3,1.1
38.8918685913,-77.0168533325,30,2013-04-16 23:06:40,"iPhone5,1",6.1.3,1.1
38.8889732361,-76.9932785034,30,2013-04-16 23:21:36,"iPhone5,1",6.1.3,1.1
38.8964309692,-76.9853134155,31.5602722168,2013-04-16 23:30:08,"iPhone5,1",6.1.3,1.1
38.8920898438,-76.9889678955,34,2013-04-17 11:37:36,"iPhone5,1",6.1.3,1.1
38.8915939331,-77.0092926025,26.1580886841,2013-04-17 11:48:16,"iPhone5,1",6.1.3,1.1
38.8914031982,-77.0340423584,26.944278717,2013-04-17 12:03:12,"iPhone5,1",6.1.3,1.1
38.8909111023,-77.0515670776,27.3355121613,2013-04-17 12:28:48,"iPhone5,1",6.1.3,1.1
38.8977928162,-77.0685348511,43.1240005493,2013-04-17 12:35:12,"iPhone5,1",6.1.3,1.1
38.881729126,-77.0550689697,56.5178146362,2013-04-17 22:00:32,"iPhone5,1",6.1.3,1.1
38.8894805908,-77.0225906372,30,2013-04-17 22:21:52,"iPhone5,1",6.1.3,1.1
