index,date,lat,lon,alt,device,os,version
152,2/28/13 1:33,38.89322281,-77.01635742,32,"iPhone5,1",6.0.1,1.1
153,2/28/13 1:46,38.89430618,-76.99156189,34.41062164,"iPhone5,1",6.0.1,1.1
154,2/28/13 2:01,38.89528656,-76.97934723,34.4631958,"iPhone5,1",6.0.1,1.1
155,2/28/13 2:16,38.89637375,-76.98538208,34.63270187,"iPhone5,1",6.0.1,1.1
156,2/28/13 13:34,38.88915253,-77.00837708,35.24465179,"iPhone5,1",6.0.1,1.1
157,2/28/13 13:56,38.89429474,-77.05415344,34.95930862,"iPhone5,1",6.0.1,1.1
158,2/28/13 14:02,38.89910507,-77.06970215,46.80281067,"iPhone5,1",6.0.1,1.1
159,3/1/13 1:27,38.90589905,-77.05177307,66.5004425,"iPhone5,1",6.0.1,1.1
160,3/1/13 1:42,38.89878845,-77.03369141,32,"iPhone5,1",6.0.1,1.1
161,3/1/13 1:53,38.89738464,-77.0063858,32,"iPhone5,1",6.0.1,1.1
162,3/1/13 2:08,38.89496613,-76.99384308,32,"iPhone5,1",6.0.1,1.1
163,3/1/13 2:18,38.89578629,-76.98222351,32.56720734,"iPhone5,1",6.0.1,1.1
164,3/1/13 12:39,38.89300919,-76.99899292,34.91010666,"iPhone5,1",6.0.1,1.1
165,3/1/13 12:45,38.8876152,-77.04403687,32,"iPhone5,1",6.0.1,1.1
166,3/1/13 13:17,38.89365387,-77.0585556,32,"iPhone5,1",6.0.1,1.1
167,3/1/13 13:32,38.89755249,-77.06968689,61.8645401,"iPhone5,1",6.0.1,1.1
168,3/1/13 14:15,38.89753342,-77.07072449,59.70236588,"iPhone5,1",6.0.1,1.1
169,3/1/13 19:09,38.89743042,-77.07071686,62.3147316,"iPhone5,1",6.0.1,1.1
170,3/1/13 23:13,38.90517426,-77.06211853,74.13245392,"iPhone5,1",6.0.1,1.1
171,3/1/13 23:17,38.90378189,-77.05316925,83,"iPhone5,1",6.0.1,1.1
172,3/1/13 23:36,38.88902664,-77.03112793,57.87971497,"iPhone5,1",6.0.1,1.1
173,3/1/13 23:40,38.89194107,-77.01641846,49.32234192,"iPhone5,1",6.0.1,1.1
174,3/1/13 23:49,38.89217758,-77.0022049,38.8110199,"iPhone5,1",6.0.1,1.1
175,3/1/13 23:57,38.89170837,-76.99069214,36.04464722,"iPhone5,1",6.0.1,1.1
176,3/2/13 0:10,38.89624023,-76.9852066,26.46459961,"iPhone5,1",6.0.1,1.1
